facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer,latitude,longitude
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,7782-44-7,Dissolved oxygen (DO),Total,,11,mg/l,True,0.1,,,4500-O-G,,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,FLOW,Flow,Total,,630,cfs,True,,,,USGS CA8,,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,PH,pH,Total,,8.4,None,True,,,,4500-H,,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,TEMP-WATER,"Temperature, water",Total,,12.5,deg C,True,0,,,2550,,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,1007-28-9,2-Choro-6-ethylamino-4-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,1582-09-8,Trifluralin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,15972-60-8,Alachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,1912-24-9,Atrazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,2008-41-5,Butylate,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,21087-64-9,Metribuzin,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,21725-46-2,Cyanazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,34256-82-1,Acetochlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,51218-45-2,Metolachlor,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine,Total,,0.1,ug/l,False,0.1,,,507,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,CBOD-SC,"Carbonaceous biochemical oxygen demand, standard conditions",Total,,1,mg/l,False,1,,,UnknownBOD,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,11003-45-5,Chlorophyll c,NonFilt,,1,ug/l,False,1,,,10200-H,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,479-61-8,Chlorophyll a,NonFilt,,3,ug/l,True,1,,,10200-H,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
6,10650001,West Nishnabotna River near Malvern,11/01/1999 14:45:00,AMBIENT,519-62-0,Chlorophyll b,NonFilt,,1,ug/l,False,1,,,10200-H,UHL001,Actual,SW,Water,,,Mills,10240002,River/Stream,,40.9872773,-95.5279083
